CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
,"12540","12540","Bakersfield, CA","Bakersfield, CA Metro Area",M1,"1",G3110,"21068634240","78407748","+35.3466288","-118.7295064"
"147","14260","14260","Boise City, ID","Boise City, ID Metro Area",M1,"1",G3110,"30475336856","171002880","+43.0066485","-116.1419089"
,"15060","15060","Brookings, OR","Brookings, OR Micro Area",M2,"2",G3110,"4217489863","934614482","+42.4664387","-124.2109292"
,"15420","15420","Burley, ID","Burley, ID Micro Area",M2,"2",G3110,"8605508283","53087062","+42.3691987","-113.6424237"
,"17340","17340","Clearlake, CA","Clearlake, CA Micro Area",M2,"2",G3110,"3254452700","188748214","+39.0948019","-122.7467569"
,"18300","18300","Coos Bay, OR","Coos Bay, OR Micro Area",M2,"2",G3110,"4133788140","544653413","+43.1859095","-124.0941335"
,"18860","18860","Crescent City, CA","Crescent City, CA Micro Area",M2,"2",G3110,"2606118035","578742633","+41.7499033","-123.9809983"
"456","22280","22280","Fernley, NV","Fernley, NV Micro Area",M2,"2",G3110,"5187939862","59489121","+39.0222125","-119.1974246"
"260","23420","23420","Fresno, CA","Fresno, CA Metro Area",M1,"1",G3110,"15432139292","136609893","+36.7610058","-119.6550193"
"456","23820","23820","Gardnerville Ranchos, NV","Gardnerville Ranchos, NV Micro Area",M2,"2",G3110,"1840147662","72317573","+38.9051292","-119.6090191"
,"20940","20940","El Centro, CA","El Centro, CA Metro Area",M1,"1",G3110,"10814595262","790216761","+33.0408143","-115.3554001"
,"21220","21220","Elko, NV","Elko, NV Micro Area",M2,"2",G3110,"55294001731","85843260","+40.9060857","-115.5545775"
,"21700","21700","Eureka-Arcata, CA","Eureka-Arcata, CA Micro Area",M2,"2",G3110,"9241565229","1253726036","+40.7066554","-123.9261757"
,"21980","21980","Fallon, NV","Fallon, NV Micro Area",M2,"2",G3110,"12820847811","190742991","+39.5377097","-118.2641661"
"456","16180","16180","Carson City, NV","Carson City, NV Metro Area",M1,"1",G3110,"374341372","32594082","+39.1530598","-119.7473681"
,"16260","16260","Cedar City, UT","Cedar City, UT Micro Area",M2,"2",G3110,"8537474385","11390956","+37.9093044","-113.3067405"
,"17020","17020","Chico, CA","Chico, CA Metro Area",M1,"1",G3110,"4238488698","105260548","+39.6653362","-121.6032086"
"472","49700","49700","Yuba City, CA","Yuba City, CA Metro Area",M1,"1",G3110,"3197863368","45895634","+39.1609692","-121.5118327"
,"49740","49740","Yuma, AZ","Yuma, AZ Metro Area",M1,"1",G3110,"14280774789","13253159","+32.7739424","-113.9109050"
"366","24420","24420","Grants Pass, OR","Grants Pass, OR Metro Area",M1,"1",G3110,"4244080762","5631773","+42.3869829","-123.5716197"
"260","25260","25260","Hanford-Corcoran, CA","Hanford-Corcoran, CA Metro Area",M1,"1",G3110,"3602601923","3164290","+36.0724780","-119.8155301"
,"28900","28900","Klamath Falls, OR","Klamath Falls, OR Micro Area",M2,"2",G3110,"15410368803","484957652","+42.6837613","-121.6461682"
